,Name,Country,revid,0,Population,article_quality
22347,Aurelio Saffi,Italy,794668743,Start,62466780,Start
22348,Pier Ferdinando Casini,Italy,794670408,Start,62466780,Start
22349,Antonio Canepa,Italy,794672550,Stub,62466780,Stub
22350,Nilde Iotti,Italy,794693421,Start,62466780,Start
22351,Salvatore Cardinale,Italy,794711458,Stub,62466780,Stub
22352,Oreste Perri,Italy,794823355,Stub,62466780,Stub
22353,Alfio Marchini,Italy,794871149,Stub,62466780,Stub
22354,Costantino Nigra,Italy,794928316,Start,62466780,Start
22355,Coluccio Salutati,Italy,794945835,C,62466780,C
22356,Biagio Brugi,Italy,794984897,Stub,62466780,Stub
22357,Orso Ipato,Italy,795015198,Start,62466780,Start
22358,Carlo Calenda,Italy,795063632,Stub,62466780,Stub
22359,Ettore Muti,Italy,795352692,Start,62466780,Start
22360,Stefano Delle Chiaie,Italy,795441725,C,62466780,C
22361,Mariano Savastano,Italy,796120162,Stub,62466780,Stub
22362,Baldina Di Vittorio,Italy,796180650,Stub,62466780,Stub
22363,Maurizio Martina,Italy,796402131,Stub,62466780,Stub
22364,Simone Boccanegra,Italy,796694590,Start,62466780,Start
22365,Adele Faccio,Italy,796851385,Stub,62466780,Stub
22366,Beatrice Lorenzin,Italy,796877032,Start,62466780,Start
22367,Piero Colonna,Italy,797040260,Stub,62466780,Stub
22368,Carlo Bo,Italy,797150905,Start,62466780,Start
22369,Emilio Floris,Italy,797353931,Stub,62466780,Stub
22370,Roberto di Ridolfi,Italy,797533233,Start,62466780,Start
22371,Emanuele Notarbartolo,Italy,797654948,Stub,62466780,Stub
22372,Augusto Mancini,Italy,797752200,Start,62466780,Start
22373,Giovanni Gentile,Italy,797757429,C,62466780,C
22374,Giuseppe Tatarella,Italy,797759283,Start,62466780,Start
22375,Giuseppe Vatinno,Italy,797759319,Start,62466780,Start
22376,Guido Natoli,Italy,797991398,Stub,62466780,Stub
22377,Michaela Biancofiore,Italy,798008401,Stub,62466780,Stub
22378,Vito Miceli,Italy,798008586,Stub,62466780,Stub
